id,en,fr,status,ef,interval,repetitions,due
1,regardless,Malgré tout,new,2.5,0,0,2025-10-26
2,To provide,fournir,new,2.5,0,0,2025-10-26
3,Therefore,Par conséquent,new,2.5,0,0,2025-10-26
4,Hues,teinte,new,2.5,0,0,2025-10-26
5,Shades,nuances,new,2.5,0,0,2025-10-26
6,Perhaps,peut être,new,2.5,0,0,2025-10-26
7,acknowledged,Reconnu,new,2.5,0,0,2025-10-26
8,providing that,À condition que,new,2.5,0,0,2025-10-26
9,run out of,manquer de,new,2.5,0,0,2025-10-26
10,take legal action,Intenter une action en justice,new,2.5,0,0,2025-10-26
11,Work out,"trouver, élaborer ou résoudre",new,2.5,0,0,2025-10-26
12,Impress,impressionner,new,2.5,0,0,2025-10-26
13,Capacity,capacité (stockage),new,2.5,0,0,2025-10-26
14,Ability,capacité (skill d’une personne),new,2.5,0,0,2025-10-26
15,actually,en fait,new,2.5,0,0,2025-10-26
16,Spare,supplémentaire / prêter / donner,new,2.5,0,0,2025-10-26
17,Quiet,tranquille,new,2.5,0,0,2025-10-26
18,Praise,éloge,new,2.5,0,0,2025-10-26
19,Lie,mensonge,new,2.5,0,0,2025-10-26
20,Lay,allonger,new,2.5,0,0,2025-10-26
21,effective,efficace (résultat),new,2.5,0,0,2025-10-26
22,Efficient,efficace (rapide),new,2.5,0,0,2025-10-26
23,involve,impliquer,new,2.5,0,0,2025-10-26
24,Evolve,évoluer,new,2.5,0,0,2025-10-26
25,released,libérer,new,2.5,0,0,2025-10-26
26,convenience,avantage,new,2.5,0,0,2025-10-26
27,definitely,sans aucun doute,new,2.5,0,0,2025-10-26
28,hopefully,Avec un peu de chance,new,2.5,0,0,2025-10-26
29,A unique,un unique (non “an” unique),new,2.5,0,0,2025-10-26
30,practitioners,Praticiens,new,2.5,0,0,2025-10-26
31,thoroughly,a fond,new,2.5,0,0,2025-10-26
32,apprentice,apprenti,new,2.5,0,0,2025-10-26
33,alterations,modifications,new,2.5,0,0,2025-10-26
34,award,prix,new,2.5,0,0,2025-10-26
35,forward,en avant,new,2.5,0,0,2025-10-26
36,to point out,Pour souligner,new,2.5,0,0,2025-10-26
37,To stir,remuer,new,2.5,0,0,2025-10-26
38,To slice,Trancher,new,2.5,0,0,2025-10-26
39,To dice,coupé en dés,new,2.5,0,0,2025-10-26
40,To chop,Hacher,new,2.5,0,0,2025-10-26
41,Dairy,laiterie,new,2.5,0,0,2025-10-26
42,Some soap,Un peu de savon,new,2.5,0,0,2025-10-26
43,To flush,Pour rincer,new,2.5,0,0,2025-10-26
44,A chest of drawers,Une commode,new,2.5,0,0,2025-10-26
45,drawers,Tiroirs,new,2.5,0,0,2025-10-26
46,To nap,siéster,new,2.5,0,0,2025-10-26
47,A wardrobe,Une armoire,new,2.5,0,0,2025-10-26
48,Some cutlery,Quelques couverts,new,2.5,0,0,2025-10-26
49,A kettle,une bouilloire,new,2.5,0,0,2025-10-26
50,Shelves,étagères,new,2.5,0,0,2025-10-26
51,A rug,tapis  (petit),new,2.5,0,0,2025-10-26
52,An armchair,Un fauteuil,new,2.5,0,0,2025-10-26
53,A cottage,un chalet,new,2.5,0,0,2025-10-26
54,A landlord / A landlady,propriétaire,new,2.5,0,0,2025-10-26
55,A block of flats,Un bloc d'appartements,new,2.5,0,0,2025-10-26
56,roadwork,travaux (pour les routes),new,2.5,0,0,2025-10-26
57,Used to,habitude dans le passé,new,2.5,0,0,2025-10-26
58,Amount,montant (uncountable),new,2.5,0,0,2025-10-26
59,put down,Poser quelque chose,new,2.5,0,0,2025-10-26
60,Enjoy,apprécier,new,2.5,0,0,2025-10-26
61,exhibit,Exposer,new,2.5,0,0,2025-10-26
62,keynote,Thème principal,new,2.5,0,0,2025-10-26
63,expectations,Attentes,new,2.5,0,0,2025-10-26
64,remain,rester,new,2.5,0,0,2025-10-26
65,boundaries,limites,new,2.5,0,0,2025-10-26
66,Settle,regler (conflit)/s'installer,new,2.5,0,0,2025-10-26
67,Lively,"vif , animé",new,2.5,0,0,2025-10-26
68,Kind,genre,new,2.5,0,0,2025-10-26
69,A baker,Un boulanger,new,2.5,0,0,2025-10-26
70,A butcher,Un boucher,new,2.5,0,0,2025-10-26
71,An intern,un stagiaire,new,2.5,0,0,2025-10-26
72,foreman,contremaitre,new,2.5,0,0,2025-10-26
73,The mining industry,L'industrie minière,new,2.5,0,0,2025-10-26
74,A light industry,Une industrie légère,new,2.5,0,0,2025-10-26
75,The hospitality industry,L'industrie hôtelière,new,2.5,0,0,2025-10-26
76,To do casual work,Pour faire du travail occasionnel,new,2.5,0,0,2025-10-26
77,To get fired,Pour se faire virer,new,2.5,0,0,2025-10-26
78,To be made redundant,pour etre licencier (raisons économiques),new,2.5,0,0,2025-10-26
